session,participant,order,handedness,gender,date,frameRate,
001,001,1,R,M,2018_Jun_02_1841,60.02583451927478,
001,001,1,R,M,2018_Jun_02_1841,60.02583451927478,
001,001,1,R,M,2018_Jun_02_1841,60.02583451927478,
001,001,1,R,M,2018_Jun_02_1841,60.02583451927478,
001,001,1,R,M,2018_Jun_02_1841,60.02583451927478,
001,001,1,R,M,2018_Jun_02_1841,60.02583451927478,
001,001,1,R,M,2018_Jun_02_1841,60.02583451927478,
001,001,1,R,M,2018_Jun_02_1841,60.02583451927478,
001,001,1,R,M,2018_Jun_02_1841,60.02583451927478,
001,001,1,R,M,2018_Jun_02_1841,60.02583451927478,
