session,participant,order,handedness,gender,native language,date,frameRate,
001,001,1,,,,2018_Jun_06_1125,59.815627196291274,
001,001,1,,,,2018_Jun_06_1125,59.815627196291274,
001,001,1,,,,2018_Jun_06_1125,59.815627196291274,
001,001,1,,,,2018_Jun_06_1125,59.815627196291274,
001,001,1,,,,2018_Jun_06_1125,59.815627196291274,
001,001,1,,,,2018_Jun_06_1125,59.815627196291274,
001,001,1,,,,2018_Jun_06_1125,59.815627196291274,
001,001,1,,,,2018_Jun_06_1125,59.815627196291274,
001,001,1,,,,2018_Jun_06_1125,59.815627196291274,
001,001,1,,,,2018_Jun_06_1125,59.815627196291274,
