Trial	Beat	Sentence	Sentence_extraction	Congruency	Probe	Probe_clause	Response	Accuracy	RT
1	binary_beat	['The', 'dessert', 'was', 'served', 'with', 'custard', 'and', 'fruit', 'then', 'there', 'was', 'coffee']	other	congruent	The coffee was after dessert?	other	y	1	3.7796182020000515
2	binary_beat	['The', 'nurse', 'that the', 'coach', 'blamed', 'checked', 'the', 'file', 'of the', 'gymnast']	object extracted	incongruent	The coach blamed the nurse?	relative_clause	n	0	3.7940284390000443
3	ternary_beat	['The', 'thug', 'that', 'saw', 'the', 'man', 'had a', 'hat', 'on', 'his', 'head']	subject extracted	incongruent	The man had a hat on his head?	main_clause	y	0	3.6124458329999243
4	binary_beat	['The', 'box', 'was', 'made', 'from', 'wood', 'and was', 'full', 'of', 'things', 'that', 'shined']	other	congruent	The box was full of things?	other	y	1	1.7920888950000062
5	binary_beat	['The', 'maid', 'that loved', 'the', 'chef', 'quit', 'the', 'job', 'at the', 'house']	subject extracted	incongruent	The chef loved the maid?	relative_clause	n	1	3.295633099999918
6	binary_beat	['The', 'sailor', 'that', 'the', 'banker', 'pushed', 'hurt his', 'foot', 'in the', 'brawl']	object extracted	congruent	The sailor hurt his foot?	main_clause	y	1	1.758095185000002
7	binary_beat	['The', 'ring', 'that', 'was', 'sadly', 'lost', 'was', 'found', 'by the', 'fat', 'and', 'very', 'happy', 'priest']	other	congruent	The priest was sad?	other	n	1	4.6655203200000415
8	binary_beat	['The', 'car', 'that was', 'new', 'had', 'just', 'been', 'cleaned', 'by', 'the', 'old', 'lady']	other	congruent	The car was old?	other	n	1	2.82700695799997
9	ternary_beat	['The', 'desk', 'that the', 'bed', 'scratched', 'was', 'too', 'old', 'to', 'be', 'moved']	object extracted	congruent	The desk was too old?	main_clause	y	1	2.8740935289999925
10	binary_beat	['The', 'piano', 'was well', 'played', 'by', 'the', 'old', 'lady', 'but', 'it', 'was', 'not', 'in', 'tune']	other	congruent	The piano was well played?	other	y	1	3.578596877999985
11	binary_beat	['The', 'bug', 'that', 'attacked', 'the', 'ant', 'was as', 'big', 'as a', 'coin']	subject extracted	congruent	The ant attacked the bug?	relative_clause	n	1	5.51792449200002
12	binary_beat	['The', 'desk', 'was', 'new', 'but', 'dusty', 'and', 'covered', 'with old', 'books']	other	congruent	The desk was old?	other	n	1	2.2592419279999376
13	ternary_beat	['The', 'guest', 'that kissed', 'the', 'host', 'brought', 'a', 'cake', 'to', 'the', 'party']	subject extracted	congruent	The host kissed the guest?	relative_clause	n	1	4.097328194999932
14	binary_beat	['The', 'book', 'that the', 'lady', 'with a', 'tattoo', 'had', 'written', 'was her', 'best', 'book', 'yet']	other	congruent	The man wrote a book?	other	n	1	2.893728212000042
15	ternary_beat	['The', 'knight', 'that', 'the', 'king', 'helped', 'sent a', 'gift', 'from', 'his', 'castle']	object extracted	incongruent	The knight sent a gift?	main_clause	y	1	1.707351362000054
16	binary_beat	['The', 'concert', 'started', 'later', 'than', 'what', 'the', 'lady', 'told the', 'traveler']	other	congruent	The concert started early?	other	n	1	2.5094318409999232
17	ternary_beat	['The', 'tradie', 'that', 'thanked', 'the', 'man', 'left his', 'wallet', 'in', 'the', 'car']	subject extracted	incongruent	The tradie thanked the man?	relative_clause	y	1	1.5060892809999586
18	binary_beat	['The', 'boss', 'that', 'the', 'clerk', 'mocked', 'had a', 'crush', 'on the', 'intern']	object extracted	congruent	The clerk mocked the boss?	relative_clause	n	0	3.126799951999942
19	binary_beat	['The', 'bloke', 'that', 'the', 'mum', 'helped', 'gave a', 'gift', 'to say', 'thanks']	object extracted	congruent	The bloke helped the mum?	relative_clause	y	0	3.2958220419999407
20	binary_beat	['The', 'hat', 'that was', 'worn', 'by the', 'boy', 'with a', 'jacket', 'was too', 'small', 'for the', 'man']	other	congruent	The hat was too small?	other	y	1	2.3091799680000804
21	ternary_beat	['The', 'frog', 'that', 'sensed', 'the', 'cat', 'sat on', 'grass', 'in the', 'garden']	subject extracted	incongruent	The cat sensed the frog?	relative_clause	n	1	3.1946457059999602
22	binary_beat	['The', 'job', 'that was', 'given', 'was', 'different', 'to', 'what', 'she', 'expected']	other	congruent	The job was unexpected?	other	y	1	3.0275575230000413
23	ternary_beat	['The', 'friend', 'that teased', 'the', 'bride', 'told', 'a', 'joke', 'about', 'the', 'past']	subject extracted	congruent	The friend told a joke?	main_clause	y	1	2.0912149129999307
24	ternary_beat	['The', 'fruit', 'that squashed', 'the', 'cake', 'made', 'a', 'mess', 'in', 'the', 'bag']	subject extracted	congruent	The fruit made a mess?	main_clause	y	1	1.3062473859999955
25	binary_beat	['The', 'nun', 'that', 'blessed', 'the', 'monk', 'lit a', 'candle', 'on the', 'table']	subject extracted	congruent	The monk blessed the nun?	relative_clause	n	1	2.2083150910000313
26	ternary_beat	['The', 'count', 'that knew', 'the', 'queen', 'owned', 'a', 'castle', 'by', 'the', 'lake']	subject extracted	congruent	The queen owned a castle?	main_clause	n	1	3.7796295450000343
27	binary_beat	['The', 'cook', 'that', 'hugged', 'the', 'maid', 'had a', 'tear', 'on her', 'cheek']	subject extracted	congruent	The cook hugged the maid? 	relative_clause	y	1	1.6907056000000011
28	binary_beat	['The', 'girl', 'on', 'the', 'school', 'trip', 'saw a', 'frog', 'and', 'later', 'she', 'saw', 'a', 'mouse']	other	congruent	The girl saw a mouse first?	other	n	1	3.1445849799999905
29	binary_beat	['The', 'king', 'that', 'pleased', 'the', 'guest', 'poured the', 'wine', 'from the', 'jug']	subject extracted	congruent	The king poured the wine?	main_clause	n	0	1.6550381859999561
30	ternary_beat	['The', 'hat', 'that', 'the', 'skirt', 'matched', 'had a', 'bow', 'in', 'the', 'back']	object extracted	incongruent	The skirt matched the hat?	relative_clause	n	0	2.9103586139999607
31	binary_beat	['The', 'dog', 'that', 'barked', 'is very', 'big', 'and very', 'friendly', 'but', 'doesn’t', 'like', 'cats']	other	congruent	The dog is very fluffy?	other	n	1	2.306102461000023
32	binary_beat	['The', 'cat', 'chased the', 'bird', 'but', 'it', 'flew', 'away', 'into the', 'sunset']	other	congruent	The cat chased the bird?	other	y	1	1.7244292799999812
