Trial	Beat	Sentence	Sentence_extraction	Congruency	Probe	Probe_clause	Response	Accuracy	RT
1	binary_beat	['The', 'tradie', 'that the', 'man', 'thanked', 'left', 'his', 'wallet', 'in the', 'car']	object extracted	incongruent	The tradie thanked the man?	relative_clause	n	1	1.6910608820035122
2	binary_beat	['The', 'man', 'that phoned', 'the', 'nurse', 'left', 'his', 'pills', 'at the', 'office']	subject extracted	incongruent	The man phoned the nurse?	relative_clause	y	1	1.9415931620023912
3	ternary_beat	['The', 'fruit', 'that', 'squashed', 'the', 'cake', 'made a', 'mess', 'in', 'the', 'bag']	subject extracted	incongruent	The cake squashed the fruit?	relative_clause	n	1	2.2411087719956413
4	binary_beat	['The', 'car', 'that was', 'new', 'had', 'just', 'been', 'cleaned', 'by', 'the', 'old', 'lady']	other	congruent	The car was new?	other	y	1	2.0582499290030682
5	binary_beat	['The', 'apples', 'that', 'the', 'couple', 'bought', 'at the', 'market', 'were', 'red']	other	congruent	The couple bought some apples?	other	y	1	2.5094307599938475
6	binary_beat	['The', 'prince', 'that', 'the', 'girl', 'helped', 'had a', 'head', 'of blonde', 'hair']	object extracted	congruent	The girl helped the prince?	relative_clause	y	1	1.7569702490000054
7	binary_beat	['The', 'boss', 'was', 'happy', 'to', 'see', 'the', 'work', 'that', 'the', 'two', 'girls', 'had', 'done']	other	congruent	The girls were happy?	other	n	1	1.170500569001888
8	binary_beat	['The', 'girl', 'on', 'the', 'school', 'trip', 'saw a', 'frog', 'and', 'later', 'she', 'saw', 'a', 'mouse']	other	congruent	The girl saw a frog?	other	y	1	1.2392078270058846
9	binary_beat	['The', 'friend', 'that teased', 'the', 'bride', 'told', 'a', 'joke', 'about the', 'past']	subject extracted	incongruent	The bride teased the friend?	relative_clause	n	1	4.53158645700023
10	binary_beat	['The', 'fox', 'that', 'chased', 'the', 'wolf', 'hurt its', 'paws', 'on the', 'way']	subject extracted	congruent	The wolf hurt its paws?	main_clause	n	1	2.644037311998545
11	binary_beat	['The', 'bug', 'that the', 'ant', 'attacked', 'was', 'as', 'big', 'as a', 'coin']	object extracted	incongruent	The ant attacked the bug?	relative_clause	n	0	2.6092496990022482
12	ternary_beat	['The', 'cop', 'that', 'the', 'spy', 'met', 'wrote a', 'book', 'about', 'the', 'case']	object extracted	incongruent	The spy wrote a book?	main_clause	n	1	2.1088684419955825
13	ternary_beat	['The', 'cat', 'that fought', 'the', 'dog', 'licked', 'its', 'wounds', 'in', 'the', 'corner']	subject extracted	congruent	The cat licked its wounds?	main_clause	y	1	1.4573686660005478
14	binary_beat	['The', 'dessert', 'was', 'served', 'with', 'custard', 'and', 'fruit', 'then', 'there', 'was', 'coffee']	other	congruent	The coffee was after dessert?	other	y	1	1.7751107439980842
15	ternary_beat	['The', 'boat', 'that', 'the', 'yacht', 'chased', 'made a', 'turn', 'at', 'the', 'boathouse']	object extracted	incongruent	The boat made a turn?	main_clause	y	1	1.8405626470048446
16	binary_beat	['The', 'guy', 'that', 'the', 'judge', 'thanked', 'left the', 'room', 'with a', 'smile']	object extracted	congruent	The judge left the room?	main_clause	n	1	1.9584766210027738
17	binary_beat	['The', 'wine', 'that was', 'fancy', 'was', 'kept', 'in the', 'cellar', 'for', 'nearly', 'ten', 'years', 'and five', 'months']	other	congruent	The wine was bad?	other	n	1	1.3230084849928971
18	binary_beat	['The', 'job', 'that was', 'given', 'was', 'different', 'to', 'what', 'she', 'expected']	other	congruent	The job was as expected?	other	n	1	1.824975956013077
19	binary_beat	['The', 'dad', 'that', 'knew', 'the', 'chef', 'had a', 'son', 'with a', 'limp']	subject extracted	congruent	The dad had a son with a limp?	main_clause	y	1	1.4391811849927763
20	ternary_beat	['The', 'niece', 'that the', 'aunt', 'kissed', 'sang', 'a', 'song', 'for', 'the', 'guests']	object extracted	congruent	The niece kissed the aunt?	relative_clause	y	0	1.9588340820046142
21	binary_beat	['The', 'desk', 'was', 'new', 'but', 'dusty', 'and', 'covered', 'with old', 'books']	other	congruent	The desk was new?	other	n	0	2.008690757997101
22	binary_beat	['The', 'boy', 'that helped', 'the', 'girl', 'got', 'an', 'A', 'on the', 'test']	subject extracted	incongruent	The boy helped the girl?	relative_clause	y	1	1.7216867879906204
23	binary_beat	['The', 'girl', 'that', 'the', 'nerd', 'thanked', 'broke the', 'vase', 'with the', 'flowers']	object extracted	congruent	The girl pushed the nerd?	relative_clause	y	0	4.061367704998702
24	ternary_beat	['The', 'nurse', 'that', 'blamed', 'the', 'coach', 'checked the', 'file', 'of', 'the', 'gymnast']	subject extracted	incongruent	The coach checked the file?	main_clause	n	1	4.214359707999392
25	binary_beat	['The', 'cat', 'chased the', 'bird', 'but', 'it', 'flew', 'away', 'into the', 'sunset']	other	congruent	The cat chased the bird?	other	y	1	1.4069942029891536
26	binary_beat	['The', 'hat', 'that', 'matched', 'the', 'skirt', 'had a', 'bow', 'in the', 'back']	subject extracted	congruent	The hat had a bow?	main_clause	y	1	1.6574436770024477
