session,participant,order,handedness,gender,date,frameRate,
001,001,1,,,2018_Jun_02_2140,60.346935240468476,
001,001,1,,,2018_Jun_02_2140,60.346935240468476,
001,001,1,,,2018_Jun_02_2140,60.346935240468476,
001,001,1,,,2018_Jun_02_2140,60.346935240468476,
001,001,1,,,2018_Jun_02_2140,60.346935240468476,
001,001,1,,,2018_Jun_02_2140,60.346935240468476,
001,001,1,,,2018_Jun_02_2140,60.346935240468476,
001,001,1,,,2018_Jun_02_2140,60.346935240468476,
001,001,1,,,2018_Jun_02_2140,60.346935240468476,
001,001,1,,,2018_Jun_02_2140,60.346935240468476,
